trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",25,0,-22.318360770057193,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,0,16.279958504228684,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,0,-25.151591358605945,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,6,8.946260955601485,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",25,2,28.938657527825754,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",25,0,23.67488840540542,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",30,1,-11.969221705373199,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",20,0,4.091472432936733,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",35,13,19.433969790365243,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",25,6,-33.345224906610206,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",35,0,-19.599189050505778,"{0: 30, 1: 0, 2: 4, 3: 1, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,6,0.2723790195675593,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,8,0.23943744723141713,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",30,0,25.271156234025938,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,0,-65.22190709491335,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",25,10,0.6850416110722026,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,12,2.62019276182653,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",25,16,15.993033784795436,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,2,-51.13755950384651,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,0,-5.895294035175124,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",25,0,-63.64627916481554,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",25,9,18.57876496266912,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",30,16,0.25672690507986196,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,12,-4.697889220844054,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",25,10,21.6566457863967,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,5,18.354493194424503,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
